,SPX,SPX_target
2000-01-04,-0.039254928777701745,-0.037886215665826464
2000-04-14,-0.059479093753803954,-0.0488082999529162
2001-03-12,-0.04436190109555582,-0.04343205072078302
2001-04-03,-0.03534725149143825,
2001-09-17,-0.0488946062933462,-0.037520368623650796
2002-07-19,-0.039103320593231995,
2002-09-03,-0.04248250572719199,
2003-03-24,-0.03581128662247763,
2006-01-20,,-0.036471339041578794
2006-11-27,,-0.03340899023896527
2007-02-27,-0.03553438946603375,-0.07987132877126553
2007-03-13,,-0.035288737645384254
2007-08-09,,-0.033664831913091546
2007-10-19,,-0.03338552880706378
2008-06-06,,-0.036082627035780544
2008-09-09,,-0.03595739578706193
2008-09-15,-0.04895658438003485,-0.04773391406875476
2008-09-17,-0.048418905085622806,-0.03632314193227365
2008-09-22,-0.03952117233005924,
2008-09-29,-0.08960625408231952,-0.0649273182096771
2008-10-02,-0.04130045008662538,
2008-10-06,-0.039273447594483944,
2008-10-07,-0.05796144334998079,-0.034459337182515065
2008-10-09,-0.0775557637613044,-0.04610858631937703
2008-10-15,-0.09221026248090987,-0.05482100415152869
2008-10-22,-0.06228485701100958,-0.03702970052259453
2008-10-24,-0.03519375300714941,
2008-11-05,-0.053797378610887694,
2008-11-06,-0.05128694028246417,
2008-11-12,-0.052999809671028936,
2008-11-14,-0.04251265669491923,
2008-11-19,-0.06232385519953028,-0.0370528857928375
2008-11-20,-0.0683999621570067,-0.04066526337185055
2008-12-01,-0.09092332065228755,-0.054055889277853035
2009-01-20,-0.053779022229241344,
2009-02-10,-0.05006999103539305,
2009-02-17,-0.04644288499640035,
2009-02-23,-0.035331682824732036,
2009-03-02,-0.04747012596696109,
2009-03-05,-0.043307753175727194,
2009-03-30,-0.03545355620403285,
2009-04-20,-0.043569937146116886,
2010-02-04,,-0.035104900958052666
2010-04-27,,-0.03406612833612542
2010-05-20,-0.03968644286681714,
2010-06-04,-0.03503886284757086,
2011-06-01,,-0.034525609883637884
2011-08-04,-0.048692297417204336,-0.04671016926461718
2011-08-08,-0.06784931495251043,-0.050963855523601234
2011-08-10,-0.04495738025544841,
2011-08-18,-0.045406761337749485,
2011-11-09,-0.03736412005143513,
2013-04-15,,-0.045537322112334806
2013-06-20,,-0.03646057035315131
2014-01-24,,-0.03927010657579114
2014-04-10,,-0.033963228884810466
2014-07-31,,-0.0364662414235931
2015-06-29,,-0.0360643947814659
2015-08-20,,-0.0370505764540204
2015-08-21,,-0.05057402273847822
2015-08-24,-0.04013226076010678,-0.0498631182269882
2016-06-24,-0.036574678964669746,-0.04108538718074287
2016-09-09,,-0.049731022134825054
2017-05-17,,-0.04236375781159738
2018-02-02,,-0.03792853538222208
2018-02-05,-0.04183107471787987,-0.07385147030940788
2018-02-08,-0.03827315835709123,
2018-03-22,,-0.0336148819970169
2018-10-10,,-0.05079782423735445
2018-10-24,,-0.03811586706732851
2018-12-04,,-0.04343794849860249
2019-08-05,,-0.040687586131707365
2019-08-14,,-0.03374680140397069
2019-08-23,,-0.039840682181533575
2020-02-24,,-0.05230738173789054
2020-02-25,,-0.04299815798900323
2020-02-27,-0.045068940913839055,-0.03848397043758593
2020-03-09,-0.07760556550614921,-0.046580712471540504
2020-03-12,-0.14207401143489706,-0.08446608610738196
2020-03-16,-0.12212571387657367,-0.0726063898670944
2020-03-19,-0.04818042631816081,
2020-03-20,-0.044200178450484386,
2020-06-11,-0.06006891290243733,-0.051813237014928445
2020-09-03,-0.0357662550084664,
2020-10-28,-0.03593128035174116,
